PK_player,first_name,last_name,hand,born_date,country,urls
101406,Wojtek,Kowalski,R,19671010.0,POL,https://en.wikipedia.org/wiki/Wojtek_Kowalski
120390,Mario,Zavala,U,19880109.0,CHI,https://en.wikipedia.org/wiki/Mar%C3%ADa_Zavala_Valladares
115969,Lewis Cass,Ledyard,,,USA,https://en.wikipedia.org/wiki/Lewis_Cass_Ledyard
129214,Renato,Melo,U,19871223.0,BRA,https://en.wikipedia.org/wiki/Renato_Malota
104612,Daniel,Yoo,L,19850925.0,KOR,https://en.wikipedia.org/wiki/Daniel_Yoo
201851,Meir,Magal,L,,ISR,https://en.wikipedia.org/wiki/Meir_Margalit_(actor)
102687,Herbert,Wiltschnig,R,19751121.0,AUT,https://en.wikipedia.org/wiki/Herbert_Wiltschnig
142336,John,Zych,U,19701014.0,USA,https://en.wikipedia.org/wiki/John_Zacherle
103215,Andre,Lopes,R,19780608.0,POR,https://en.wikipedia.org/wiki/Andr%C3%A9_Lopes
202144,Jake,Douglas,U,19960509.0,USA,https://en.wikipedia.org/wiki/Jane_Douglass_White
201873,Antonio,Barbera,R,,ITA,https://en.wikipedia.org/wiki/Antonio_Barberini
119009,Sebastian,Pena,L,19841118.0,CHI,https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Henao
207982,Giuseppe,Tresca,U,19980617.0,ITA,https://en.wikipedia.org/wiki/Giuseppe_Tresca
112050,G,Vincent,,,AUS,https://en.wikipedia.org/wiki/G._Vincent_Runyon
207081,Jerzy,Jasinski,,19550530.0,POL,https://en.wikipedia.org/wiki/Jerzy_Pasi%C5%84ski
209268,Ville,Perkkola,U,19980909.0,FIN,https://en.wikipedia.org/wiki/Ville_Pekkola
105617,Andreas,Mies,U,19900821.0,GER,https://en.wikipedia.org/wiki/Andreas_Mies
116039,Wh,Bates,,,USA,https://en.wikipedia.org/wiki/W_Bateson
141217,Kenichi,Oyama,U,19820605.0,JPN,https://en.wikipedia.org/wiki/Kenichi_Yamamoto_(mixed_martial_artist)
113314,Phil,Harman,,,USA,https://en.wikipedia.org/wiki/Philharmania
125174,Alexander,Beller,R,19870730.0,CHI,https://en.wikipedia.org/wiki/Alexander_Buller
108118,Robert,Machan,R,,HUN,https://en.wikipedia.org/wiki/Robert_Machan
136471,Sachio,Yoshida,U,19641111.0,JPN,https://en.wikipedia.org/wiki/Sachio_Yoshida
101014,John,Ross,R,19640229.0,USA,https://en.wikipedia.org/wiki/John_Ross
144542,Joe,Kula,U,19830521.0,USA,"https://en.wikipedia.org/wiki/J%C3%B5ek%C3%BCla,_Hiiu_County"
117453,James,Gordon,U,19760701.0,CAN,https://en.wikipedia.org/wiki/James_Gordon
144948,Giorgos,Konstantinou,U,19980728.0,CYP,https://en.wikipedia.org/wiki/Giorgos_Konstantinou
206362,Owen,Kirk,U,19961126.0,IRL,https://en.wikipedia.org/wiki/Owens-kirkpatrick
111513,Laslo,Djere,R,19950602.0,SRB,https://en.wikipedia.org/wiki/Laslo_%C4%90ere
143324,Jose Luis,Castillo,U,19870420.0,CUB,https://en.wikipedia.org/wiki/Jos%C3%A9_Luis_Castillo
131332,Sean,Damer,U,19680413.0,GBR,https://en.wikipedia.org/wiki/Sean_Cameron_Michael
206565,Roberto,Preka,U,19990630.0,GBR,https://en.wikipedia.org/wiki/Roberto_Pregadio
112533,Jean Paul,Jauffret,,19301113.0,FRA,https://en.wikipedia.org/wiki/Jean-Paul_Jauffret
101586,Scott,Smith,R,19690328.0,USA,https://en.wikipedia.org/wiki/Scott_Smith
109973,Andre,Cote,U,,CAN,https://en.wikipedia.org/wiki/Andr%C3%A9_Comte-Sponville
104467,Lamine,Ouahab,R,19841222.0,ALG,https://en.wikipedia.org/wiki/Lamine_Ouahab
200784,Anil,Kumar,U,,IND,https://en.wikipedia.org/wiki/Anil_Kumar
112513,Alan,Bashford,,,AUS,https://en.wikipedia.org/wiki/Alan_Ashford
108593,Wing Luen,Wong,U,19810321.0,HKG,https://en.wikipedia.org/wiki/Wing-Luen_Wong
209629,Bill,Joiner,U,,AUS,https://en.wikipedia.org/wiki/Bill_Joiner
115111,Jose A,Cortes,,,COL,https://en.wikipedia.org/wiki/Jos%C3%A9_Cort%C3%A9s_de_Madariaga
100486,Christophe Roger,Vasselin,R,19570708.0,FRA,https://en.wikipedia.org/wiki/Christophe_Roger-Vasselin
104773,Omid,Souri,R,19860728.0,IRI,https://en.wikipedia.org/wiki/Omid_Nouripour
128922,Eduardo,Rodrigues,R,19810906.0,BRA,https://en.wikipedia.org/wiki/Eduardo_Rodrigues
141327,Luis,Carvalho,U,19811122.0,POR,https://en.wikipedia.org/wiki/Luis_Carvallo
132923,Jordan,Young,U,19920729.0,GBR,https://en.wikipedia.org/wiki/Jordan_Young
114754,Clark R,Taylor,,,USA,https://en.wikipedia.org/wiki/Clark%E2%80%93Taylor_House
136586,Steven,Francis,U,19940211.0,AUS,https://en.wikipedia.org/wiki/Stephen_Francis
135944,Stefan,Basta,R,19930421.0,SRB,https://en.wikipedia.org/wiki/Stefan_Batan
118056,Alexander,Walden,U,19810808.0,USA,https://en.wikipedia.org/wiki/Alexander_Walden
123546,Roman,Pavlik,U,19731206.0,USA,https://en.wikipedia.org/wiki/Roman_Pavl%C3%ADk
102390,Vincent,Allegre,R,19740517.0,FRA,https://en.wikipedia.org/wiki/Vincent_All%C3%A8gre
208108,Brian,Shi,R,20000224.0,USA,https://en.wikipedia.org/wiki/Brian_Shi
104678,Viktor,Troicki,R,19860210.0,SRB,https://en.wikipedia.org/wiki/Viktor_Troicki
103060,Alejandro,Hernandez,R,19771001.0,MEX,https://en.wikipedia.org/wiki/Alejandro_Hern%C3%A1ndez
111683,Jamin,Thompson,U,19790331.0,USA,https://en.wikipedia.org/wiki/Jamie_Thompson
101944,Pedro,Leon,R,19710807.0,CUB,https://en.wikipedia.org/wiki/Pedro_Le%C3%B3n
109063,Paul,Downey,R,19720317.0,CAN,https://en.wikipedia.org/wiki/Paul_Downes
136094,Marcel,Janik,U,19941107.0,POL,https://en.wikipedia.org/wiki/Marcel_Janco
