time,image_urls
2021-06-01T12:40:51+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/0/6/6/87e33680c3312417530e16d3a0dcf36e-1622543985.jpg
2021-06-01T11:20:07+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/a/1/0/27b4a9837cb106cdb502ad6a59caddd3-1622539008.jpg
2021-06-01T11:10:01+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/c/d/2/b3217cd5051ef045c646ab993b41f7bd938cc23c.jpg
2021-06-01T11:06:00+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/9/f/3/82e35f9e78e7e5f49c66b726505b5e3c-1622469914.jpg
2021-05-31T16:36:05+02:00,
2021-05-31T16:42:00+02:00,
2021-05-31T16:18:04+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/3/c/0/17f5e6db87929fb55cebeb7fd58c1d41-1622470647.jpg
2021-05-31T16:59:14+02:00,
2021-05-31T16:47:32+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/9/a/7/91d0dbfd38d950cb716c4dd26c5da08a-1622472070.jpg
2021-05-31T16:34:19+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/7/e/b/d6f84c02e2a54908d96f410083beb6e0-1622471436.jpg
2021-05-31T17:14:03+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/1/2/e/abc1e5541e0a59f82a5e87aef3413ca9-1622386335.jpg
2021-05-31T17:08:53+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/3/4/a/7bad3bd3f0f97b500e337b6dd91746ca-1622473314.jpg
2021-05-31T16:53:26+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/8/e/2/pxy_113612528_113045342_640554_590164.jpg
2021-05-31T17:41:56+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/e/1/d/113614441_113046693_640554_623853.jpg
2021-05-31T17:48:46+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/e/e/3/c5c53759e4dd1bfe8b3dcfec37d0ea72-1622475710.jpg
2021-05-31T17:23:14+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/0/3/6/7c220a2091c26a7f5e9f1cfb099511e3-1622474346.jpg
2021-05-31T18:09:40+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/2/8/6/ca3a856a28df7d77d948949206ff9fdf-1622477280.jpg
2021-05-31T18:27:09+02:00,
2021-05-31T17:54:31+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/9/9/b/53c5b2affa12eed84dfec9bfd83550b1-1622476112.jpg
2021-05-31T18:35:00+02:00,
2021-05-31T18:17:33+02:00,https://ds1.static.rtbf.be/article/image/1920xAuto/9/a/2/6a1a681b16826ba2e48fedb229db3b65-1622477550.jpg
